"DESCRIPTION","NAME","OFFERID","PICTURE","PRICE","URL"
"Сверло HSS-CO STANDARD Bosch 2608585889 предназначено для работы по легированной и нелегированной стали, у которой преде","Сверло по металлу hss-co standart (ф6х57/93мм) Bosch (2 608 585 889)","37764899","https://www.enkor24.ru/u/images/products/sd/hss-g.jpg","266","https://www.enkor24.ru/product/10756-sverlo-po-metallu-hss-co-standart-f6x57-93mm-bosch-2-608-585-889"
"Сверло HSS-Cо Standardline Bosch 2608585890 предназначено для работы по легированной и нелегированной стали, у которой п","Сверло по металлу hss-co standart (ф6.5х63/101мм) Bosch (2 608 585 890)","37764900","https://www.enkor24.ru/u/images/products/sd/hss-g.jpg","298","https://www.enkor24.ru/product/10767-sverlo-po-metallu-hss-co-standart-f6-5x63-101mm-bosch-2-608-585-890"
"Сверло HSS-Cо Standardline Bosch 2608585892 предназначено для работы по легированной и нелегированной стали, у которой п","Сверло по металлу hss-co standart (ф7х69/109мм) Bosch (2 608 585 892)","37764901","https://www.enkor24.ru/u/images/products/sd/hss-g.jpg","380","https://www.enkor24.ru/product/10776-sverlo-po-metallu-hss-co-standart-f7x69-109mm-bosch-2-608-585-892"
"Сверло HSS-Cо Standardline Bosch 2608585894 предназначено для работы по легированной и нелегированной стали, у которой п","Сверло по металлу hss-co standart (ф8х75/117мм) Bosch (2 608 585 894)","37764902","https://www.enkor24.ru/u/images/products/sd/hss-g.jpg","780","https://www.enkor24.ru/product/10795-sverlo-po-metallu-hss-co-standart-f8x75-117mm-bosch-2-608-585-894"
"Сверло HSS-Cо Standardline Bosch 2608585895 предназначено для работы по легированной и нелегированной стали, у которой п","Сверло по металлу hss-co standart (ф8.5х75/117мм) Bosch (2 608 585 895)","37764903","https://www.enkor24.ru/u/images/products/sd/hss-g.jpg","795","https://www.enkor24.ru/product/10797-sverlo-po-metallu-hss-co-standart-f8-5x75-117mm-bosch-2-608-585-895"
"Сверло Энкор 21008 предназначено для сверления отверстий в металлических конструкциях. Изготовлено из высокопроизводител","Сверло по металлу hss (ф0.8х10/30мм) Энкор (21008)","37764904","https://www.enkor24.ru/u/images/products/d0/d06d0276f5e4af2329e945bb79c71a8f48047e8d.jpg","7.8","https://www.enkor24.ru/product/10847-sverlo-po-metallu-hss-f0-8x10-30mm-enkor-21008"
"None","Сверло по металлу hss (ф1х10/30мм) Энкор (21010)","37764905","https://www.enkor24.ru/u/images/products/4e/4ef7fc1795aee1be2071238f5d31a6f1a0bf9225.jpg","7.8","https://www.enkor24.ru/product/10848-sverlo-po-metallu-hss-f1x10-30mm-enkor-21010"
"Сверло спиральное HSS удлиненной серии Энкор 22010 предназначено для получения глубокого отверстия сверлением или увелич","Сверло по металлу  удлинённое (ф1х33/56мм) Энкор (22010)","37764906","https://www.enkor24.ru/u/images/products/4e/4ef7fc1795aee1be2071238f5d31a6f1a0bf9225.jpg","11.7","https://www.enkor24.ru/product/10849-sverlo-po-metallu-udlinyonnoe-f1x33-56mm-enkor-22010"
"None","Сверло по металлу hss (ф1.1х14/36мм) Энкор (21011)","37764907","https://www.enkor24.ru/u/images/products/4e/4ef7fc1795aee1be2071238f5d31a6f1a0bf9225.jpg","7.8","https://www.enkor24.ru/product/10850-sverlo-po-metallu-hss-f1-1x14-36mm-enkor-21011"
"Сверло Энкор 21012 предназначено для сверления отверстий в металлических конструкциях. Изготовлено из высокопроизводител","Сверло по металлу hss (ф1.2х16/38мм) Энкор (21012)","37764908","https://www.enkor24.ru/u/images/products/4e/4ef7fc1795aee1be2071238f5d31a6f1a0bf9225.jpg","7.8","https://www.enkor24.ru/product/10851-sverlo-po-metallu-hss-f1-2x16-38mm-enkor-21012"
